adc_id,activity_id,standard_type,relation,value_numeric,units,payload_mechanism,reason
DRG0MCWQA,ADCC000894,Half Maximal Inhibitory Concentration (IC50),=,5.5,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000890,Half Maximal Inhibitory Concentration (IC50),=,15.34,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000879,Half Maximal Inhibitory Concentration (IC50),=,20.7,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000881,Half Maximal Inhibitory Concentration (IC50),=,24.3,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000893,Half Maximal Inhibitory Concentration (IC50),=,42.06,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000878,Half Maximal Inhibitory Concentration (IC50),=,68.54,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000892,Half Maximal Inhibitory Concentration (IC50),=,189.3,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000876,Half Maximal Inhibitory Concentration (IC50),=,190.9,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000897,Half Maximal Inhibitory Concentration (IC50),=,370.4,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000895,Half Maximal Inhibitory Concentration (IC50),=,887.2,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000884,Half Maximal Inhibitory Concentration (IC50),=,1828.3,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000885,Half Maximal Inhibitory Concentration (IC50),=,2090.3,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000877,Half Maximal Inhibitory Concentration (IC50),=,2895.7,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000883,Half Maximal Inhibitory Concentration (IC50),=,6881.0,ng/mL,microtubule-disrupting,non_molar_or_missing_value
DRG0MCWQA,ADCC000891,Half Maximal Inhibitory Concentration (IC50),>,10.0,ug/mL,microtubule-disrupting,non_molar_or_missing_value
